Cidade,Nome,Endereco,Tipo_de_Doacao,Horario
Caxias do Sul,Patronato Santa Rita de Cássia,"Rua Madre Teresa, 456","Roupas em bom estado para crianças e adolescentes, brinquedos, materiais escolares","Segunda a Sexta, das 8h às 14h"
Santa Maria,Asilo Lar do Vovô Nestor,"Rua dos Girassóis, 789","Roupas em bom estado para idosos, calçados, produtos de higiene pessoal, livros para leitura","Segunda a Domingo, das 8h às 17h"
Pelotas,Sopão Solidário Mão Amiga,"Rua da Mangueira, 123","Alimentos não perecíveis, marmitas descartáveis, talheres descartáveis","Terça e Quinta, das 14h às 16h"
Rio Grande,Casa de Apoio à Gestante Bem-Me-Quer,"Rua Annes Dias, 456","Roupas femininas em bom estado, roupas infantis, itens de higiene pessoal para bebês","Segunda a Sexta, das 9h às 15h"
Uruguaiana,Cantina Social Caminho do Bem,"Rua da Esperança, 789","Sopas, marmitas, alimentos não perecíveis","Segunda a Sexta, das 11h às 13h"
Cachoeirinha,Albergue Municipal São José,"Rua da Paz, 123","Alimentos não perecíveis, cobertores, produtos de higiene pessoal","Segunda a Sexta, das 10h às 16h"
Gravataí,Lar Menino Jesus,"Rua do Carinho, 456","Brinquedos, materiais escolares, roupas infantis","Terça e Quinta, das 13h às 16h"
Bagé,Sociedade Espírita União e Caridade,"Rua da Luz, 789","Roupas em bom estado, alimentos não perecíveis, itens de higiene pessoal","Segunda a Sexta, das 8h às 12h"
Viamão,Casa Rosa - Apoio a Mulheres Vítimas de Violência,"Rua da Tranquilidade, 123","roupas femininas em bom estado, produtos de higiene pessoal","Segunda a Sexta, das 9h às 17h"
Santa Cruz do Sul,Albergue Aliança,"Rua da Acolhida, 456","Alimentos não perecíveis, cobertores, materiais de limpeza","Terça, Quinta e Sábado, das 14h às 16"
Curitiba,Banco de Alimentos Central,"Rua X, 123",Alimentos não perecíveis,"Segunda a Sexta, das 9h às 17h"
Curitiba,Brechó Bom Samaritano,"Rua Y, 456","Roupas em bom estado, calçados, acessórios","Terça a Sábado, das 10h às 18h"
Curitiba,Centro de Assistência Social da Prefeitura de Curitiba,Consulte o site da prefeitura para encontrar a unidade mais próxima de você,"Alimentos não perecíveis, roupas em bom estado, produtos de higiene pessoal, utensílios domésticos","Segunda a Sexta, das 8h às 17h"
Curitiba,Abrigo de Animais Amigo Bicho,"Rua Z, 789","Ração para cães e gatos, medicamentos veterinários, brinquedos para animais, cobertores, toalhas","Segunda a Sábado, das 9h às 16h"
Curitiba,Hospital Infantil Pequeno Príncipe,"Rua W, 321","Brinquedos, livros infantis, materiais para pintura, jogos educativos","Terça e Quinta, das 14h às 16h"
Curitiba,Lar de Idosos Vovó Helena,"Rua U, 567","Roupas em bom estado para idosos, calçados, produtos de higiene pessoal, livros para leitura","Segunda a Domingo, das 8h às 18h"
Curitiba,Creche Tia Ana,"Rua T, 234","Fraldas descartáveis, lenços umedecidos, papinhas infantis, leite em pó, roupas e brinquedos para bebês e crianças pequenas","Segunda a Sexta, das 7h às 17h"
Curitiba,Escola Pública Professora Maria,"Rua S, 890","Materiais escolares (cadernos, lápis, canetas, etc.), livros infantis, jogos educativos","Segunda a Sexta, das 7h às 13h"
Curitiba,ONG Missão Resgate da Vida,"Rua R, 456","Alimentos não perecíveis, roupas em bom estado, produtos de higiene pessoal, cobertores, toalhas","Segunda a Sexta, das 9h às 17h"
Curitiba,Igreja Comunidade da Fé,"Rua Q, 123","Cestas básicas com alimentos não perecíveis, roupas em bom estado, calçados, produtos de higiene pessoal",A combinar com a igreja
Curitiba,Restaurante Refetório Social,"Rua P, 987","Sopas, pratos quentes, pães, frutas","Segunda a Domingo, das 12h às 14h"
Curitiba,Casa de Acolhimento Luz do Amanhã,"Rua O, 654","Alimentos não perecíveis, roupas em bom estado, produtos de higiene pessoal, cobertores, travesseiros","Segunda a Sexta, das 9h às 17h"
Curitiba,Projeto Mãos Unidas,"Rua N, 321","Alimentos não perecíveis, roupas em bom estado, calçados, materiais de construção, utensílios domésticos","Segunda a Sábado, das 8h às 16h"
Curitiba,Centro de Apoio à Criança e ao Adolescente (CACA),"Rua M, 123","Brinquedos educativos, materiais escolares, livros infantis, roupas infantis","Terça e Quinta, das 14h às 17h"
